time,energy
51.4,-985.087159482514
51.6,-984.5036954825032
51.800000000000004,-983.9192364904643
52.0,-983.3320493997423
52.2,-982.7406230410036
52.4,-982.1443753737644
52.6,-981.5445811038992
52.800000000000004,-980.9446216403231
53.0,-980.3487398225741
53.2,-979.7600397766279
53.4,-979.179472605041
53.6,-978.6062888845115
53.800000000000004,-978.0390226646068
54.0,-977.476191990473
54.2,-976.9165813351156
54.4,-976.3592769881711
54.6,-975.8036127373066
54.800000000000004,-975.2491028459655
55.0,-974.6953874816612
55.2,-974.1421940275171
55.4,-973.5893112424684
55.6,-973.036572440027
55.800000000000004,-972.4838446150402
56.0,-971.9310213650112
56.2,-971.3780181753842
56.4,-970.8247691459733
56.6,-970.2712245828834
56.800000000000004,-969.717349118366
57.0,-969.1631201824947
57.2,-968.608526752235
57.4,-968.0535683558205
57.6,-967.4982543239012
57.800000000000004,-966.9426032680514
58.0,-966.386642746906
58.2,-965.8304090630647
58.4,-965.2739471268093
58.6,-964.7173103263909
58.800000000000004,-964.160560356188
59.0,-963.6037669688766
59.2,-963.047007632181
59.4,-962.4903670824513
59.6,-961.9339367755215
59.800000000000004,-961.3778142402357
60.0,-960.8221023423441
60.2,-960.2669084669426
60.4,-959.7123436267527
60.6,-959.1585215017503
60.800000000000004,-958.6055574129557
61.0,-958.0535672294556
61.2,-957.5026662025755
61.4,-956.9529677138073
61.6,-956.4045819125292
61.800000000000004,-955.8576142039999
62.0,-955.3121635249436
62.2,-954.7683203090088
62.4,-954.2261639910644
62.6,-953.6857598175753
62.800000000000004,-953.1471546049412
63.0,-952.6103708969674
63.2,-952.0753986888842
63.4,-951.5421834855139
63.6,-951.0106089644459
63.800000000000004,-950.480472100882
64.0,-949.9514489261509
64.2,-949.4230519508156
64.4,-948.894589853043
64.6,-948.3651633836379
64.8,-947.8337725813242
65.0,-947.2996441147794
65.2,-946.7628020194666
65.4,-946.2246531307997
65.6,-945.6878574843402
65.8,-945.1553071326964
66.0,-944.6287462119552
66.2,-944.1080983906852
66.4,-943.5916291861689
66.6,-943.0764055612694
66.8,-942.5588574954617
67.0,-942.0360505019753
67.2,-941.5082249792343
67.4,-940.9806239186292
67.6,-940.4607351127764
67.8,-939.9528950140079
68.0,-939.4567817269949
68.2,-938.969808371835
68.4,-938.4893495097483
68.60000000000001,-938.0134929822696
68.8,-937.5409997940347
69.0,-937.0710874500113
69.2,-936.6032500330734
69.4,-936.1371431518996
69.60000000000001,-935.6725164924908
69.8,-935.2091753049473
70.0,-934.7469584352843
70.2,-934.2857256923007
70.4,-933.8253505248612
70.60000000000001,-933.3657157727735
70.8,-932.9067112303463
71.0,-932.4482322952719
71.2,-931.9901792727039
71.4,-931.5324570747506
71.60000000000001,-931.0749751563039
71.8,-930.6176475892524
72.0,-930.1603932148997
72.2,-929.7031358378665
72.4,-929.245804439164
72.60000000000001,-928.7883333948876
72.8,-928.3306626921349
73.0,-927.8727381366278
73.2,-927.4145115480671
73.4,-926.9559409399427
73.60000000000001,-926.4969906808212
73.8,-926.0376316340952
74.0,-925.5778412730838
74.2,-925.1176037681505
74.4,-924.6569100422732
74.60000000000001,-924.1957577912062
74.8,-923.7341514640314
75.0,-923.2721021994228
75.2,-922.8096277123461
75.4,-922.3467521250499
75.60000000000001,-921.8835057349619
75.8,-921.4199247102288
76.0,-920.9560507009951
76.2,-920.4919303504427
76.4,-920.027614683643
76.60000000000001,-919.5631583432904
76.8,-919.0986186279388
77.0,-918.6340542680845
77.2,-918.1695238448666
77.4,-917.7050837100547
77.60000000000001,-917.240785196664
77.8,-916.776670806836
78.0,-916.312768914911
78.2,-915.8490863202568
78.4,-915.3855977373873
78.60000000000001,-914.9222311002076
78.8,-914.4588476492114
79.0,-913.9952168761142
79.2,-913.5309901213466
79.4,-913.0656858376549
79.60000000000001,-912.5987172631644
79.8,-912.1295157313851
80.0,-911.6578024864424
80.2,-911.1839774785801
80.4,-910.7094004527195
80.60000000000001,-910.2362200055461
80.8,-909.7666779513964
81.0,-909.3023374972661
81.2,-908.843771219391
81.4,-908.3907669667708
81.60000000000001,-907.9427272757127
81.8,-907.4989836578766
82.0,-907.0589536820321
82.2,-906.6221854050251
82.4,-906.1883479199141
82.60000000000001,-905.7572049289364
82.8,-905.3285880028617
83.0,-904.902374945579
83.2,-904.4784738569817
83.4,-904.0568119136182
83.60000000000001,-903.6373276500449
83.8,-903.2199657163712
84.0,-902.8046733506396
84.2,-902.3913980262812
84.4,-901.9800858957035
84.60000000000001,-901.5706807607532
84.8,-901.1631233724638
85.0,-900.7573509068174
85.2,-900.3532964856597
85.4,-899.9508886139049
85.60000000000001,-899.5500503819355
85.8,-899.1506982250806
86.0,-898.7527399177308
86.2,-898.3560712644688
86.4,-897.9605705565638
86.60000000000001,-897.5660891577314
86.8,-897.1724353582032
87.0,-896.7793465889199
87.2,-896.3864419747945
87.4,-895.993143803408
87.60000000000001,-895.5985582858253
87.8,-895.2013335783923
88.0,-894.799618085473
88.2,-894.3914735333292
88.4,-893.9762184315326
88.60000000000001,-893.5562664510944
88.8,-893.1370846792031
89.0,-892.7239503252075
89.2,-892.3189184286229
89.4,-891.9210735146172
89.60000000000001,-891.528415594853
89.8,-891.1391211147929
90.0,-890.7518910758179
90.2,-890.365883963236
90.4,-889.9805685013536
90.60000000000001,-889.5956054577366
90.8,-889.2107712165373
91.0,-888.8259120815503
91.2,-888.4409176712614
91.4,-888.0557054748209
91.60000000000001,-887.6702118075054
91.8,-887.2843864333867
92.0,-886.8981893054903
92.2,-886.5115885400716
92.4,-886.1245591137437
92.60000000000001,-885.7370819804919
92.8,-885.3491434225576
93.0,-884.9607345144962
93.2,-884.5718506147805
93.4,-884.1824908154694
93.60000000000001,-883.7926572832325
93.8,-883.402354416494
94.0,-883.0115877227626
94.2,-882.6203622846161
94.4,-882.2286806269786
94.60000000000001,-881.8365397147486
94.8,-881.443926690212
95.0,-881.0508127995323
95.2,-880.6571447716103
95.4,-880.2628327740412
95.60000000000001,-879.8677342046228
95.8,-879.471633551883
96.0,-879.0742215988028
96.2,-878.6750844491298
96.4,-878.2737262444588
96.60000000000001,-877.8696659787227
96.8,-877.4626487752635
97.0,-877.0529523859086
97.2,-876.6416296477158
97.4,-876.2304242633818
97.60000000000001,-875.8212626646563
97.8,-875.4156157893485
98.0,-875.0141652331962
98.2,-874.6168956634491
98.4,-874.2233996717822
98.60000000000001,-873.833155401113
98.8,-873.445685217109
99.0,-873.0606134650208
99.2,-872.6776691026083
99.4,-872.2966673035236
99.60000000000001,-871.9174874446197
99.8,-871.540054099202
100.0,-871.164322513124
100.2,-870.790268120394
100.4,-870.417879178948
100.60000000000001,-870.0471516590702
100.8,-869.6780857072562
101.0,-869.310683197519
101.2,-868.9449460315686
101.4,-868.5808749573084
101.60000000000001,-868.218468749522
101.8,-867.8577236469537
102.0,-867.4986329736678
102.2,-867.1411868949899
102.4,-866.7853722733765
102.60000000000001,-866.431172599698
102.8,-866.0785679822069
103.0,-865.7275351802621
103.2,-865.3780476730635
103.4,-865.0300757560004
103.60000000000001,-864.6835866588494
103.8,-864.3385446812448
104.0,-863.9949113417429
104.2,-863.6526455374643
104.4,-863.3117037118038
104.60000000000001,-862.9720400281122
104.8,-862.6336065475655
105.0,-862.2963534097051
105.2,-861.9602290144157
105.4,-861.6251802043115
105.60000000000001,-861.2911524469108
105.8,-860.958090016301
106.0,-860.6259361745203
106.2,-860.2946333532645
106.4,-859.9641233365458
106.60000000000001,-859.6343474442452
106.8,-859.3052467148146
107.0,-858.9767620833459
107.2,-858.6488345504376
107.4,-858.3214053391172
107.60000000000001,-857.9944160415502
